training_id,employee_id,course_name,category,start_date,end_date,duration_days,completion_status,score,cost_lkr,trainer,department,year
TRN491433,EMP017548,Risk Management,Leadership,11-22-2021,12-05-2021,13 days,Completed,58,16461.49,internal,Customer service,2021
TRN578993,EMP010930,Digital Transformation,,2022-09-29,03/10/2022,4,In Progress,57,6236.2,online,operations,2022
TRN433175,EMP008767,Financial Acumen,TECHNICAL,2021-03-08,03-14-2021,6,completed,51,65292.1,Online,Marketing,2021
TRN271418,EMP012046,Customer Handling,TECHNICAL,22/07/2024,08-05-2024,14,completed,,10447.98,Online,Customer service,2024
TRN121690,EMP002200,financial acumen,Soft Skills,2023-10-22,2023/10/26,4,,,10630.64,Internal,H.R.,2023
TRN608870,EMP926021,HR Compliance,technical,28 Nov 2021,2021-12-11,13,in progress,,6435.2,internal,Info Tech,2021
TRN336232,EMP016886,Negotiation Skills,N/A,27/09/2021,,10,Completed,86,139975.76,internal,FINANCE,2021
TRN630832,EMP014958,Power BI Basics,Soft Skills,"June 11, 2022",13 Jun 2022,2,In Progress,92,83875.5,online,PROCUREMENT,2022
TRN732186,EMP972246,cloud computing basics,technical,2022/07/14,2022/07/21,7,In Progress,75,107897.32,internal,Human Resource,2022
TRN304370,EMP004994,Conflict Resolution,TECHNICAL,30 Apr 2020,2020-05-02,2,completed,97,100957.49,,RnD,2020
TRN104500,EMP007602,Emotional Intelligence,Technical,07 May 2020,22 May 2020,15,In Progress,44,143722.08,Internal,Research and Development,2020
TRN457400,EMP906950,Strategic Planning,TECHNICAL,2021/04/19,04-30-2021,11,in progress,61,82548.17,internal,Operatons,2021
TRN338654,EMP014654,Data Analysis,Compliance,2022/05/05,"May 08, 2022",3,in progress,,83148.01,Internal,Research & Dev,2022
TRN350147,EMP012170,customer handling,technical,10/11/2023,17/11/2023,7,In Progress,85,,internal,finance,2023
TRN139304,EMP006552,Digital Transformation,N/A,03-27-2021,2021/04/07,11,,73,102268.37,internal,operations,2021
TRN273383,EMP001972,Power BI Basics,,"May 03, 2020",,12,in progress,90,79922.87,,RnD,2020
TRN222272,EMP002874,Negotiation Skills,soft skills,2021/09/28,03 Oct 2021,5,Dropped,82,81554.46,online,ENGINEERING,2021
TRN929066,EMP013146,advanced excel,technical,27/07/2024,2024-08-03,7,Dropped,100,54209.33,,Fiance,2024
TRN559027,EMP016219,Digital Transformation,technical,2021-12-20,12-23-2021,3,in progress,55,98277.31,Online,RnD,2021
TRN926810,EMP017602,Leadership Fundamentals,TECHNICAL,08 Feb 2023,2023/02/17,9 days,completed,41,13620.59,online,ADMIN,2023
TRN739675,EMP010938,Financial Acumen,Soft Skills,"October 18, 2022","October 22, 2022",4,In Progress,61,98158.9,EXTERNAL,Cust Support,2022
TRN626742,EMP014004,Time Management,Leadership,01-23-2020,02 Feb 2020,10,in progress,90,66806.78,internal,human resources,2020
TRN214755,EMP010809,Python for Analytics,TECHNICAL,18 Jun 2022,"June 19, 2022",1,Dropped,,80439.61,Online,Sale,2022
TRN931744,EMP011766,Project Management,TECHNICAL,10/01/2024,2024-01-25,15,Incomplete,80,112185.17,Internal,Mktg,2024
TRN731144,EMP014496,Emotional Intelligence,N/A,2021-06-09,10 Jun 2021,1,,79,133697.72,EXTERNAL,Proc,2021
TRN339372,EMP011109,Cybersecurity Awareness,Soft Skills,05 Jun 2022,,12,Incomplete,48,97411.68,External,LEGAL,2022
TRN422126,EMP005389,Python for Analytics,Leadership,2024-06-07,2024/06/12,5,COMPLETED,49,,internal,Proc,2024
TRN708897,EMP009533,Emotional Intelligence,Compliance,06-30-2021,04/07/2021,4,Incomplete,72,120735.21,EXTERNAL,Legal,2021
TRN693051,EMP007683,Power BI Basics,Leadership,10 Jul 2021,2021-07-23,13,completed,,55575.26,External,Operatons,2021
TRN507549,EMP008286,Presentation Skills,Leadership,2021/05/12,22/05/2021,10,COMPLETED,71,122833.11,online,Marketting,2021
TRN578255,EMP007837,Advanced Excel,Compliance,10-03-2020,2020-10-12,9,Incomplete,,83115.8,,admin,2020
TRN131263,EMP015811,Customer Handling,soft skills,10-08-2022,"October 09, 2022",1,Completed,93,38982.85,EXTERNAL,RnD,2022
TRN165987,EMP001551,Negotiation Skills,Compliance,"April 30, 2021",2021-05-06,6,,54,138796.52,internal,Eng,2021
TRN872491,EMP010211,Design Thinking,,2023-05-31,2023/06/01,1,in progress,67,17968.9,Internal,Slaes,2023
TRN929175,EMP005776,Presentation Skills,N/A,08-08-2022,"August 16, 2022",8,In Progress,52,,Internal,customer support,2022
TRN245824,EMP010303,communication skills,technical,"November 09, 2021",2021/11/14,5,Completed,90,24970.29,,Human Resource,2021
TRN955775,EMP015043,project management,TECHNICAL,15 May 2023,2023/05/25,10,completed,57,102263.83,Internal,CS,2023
TRN801935,EMP012341,Communication Skills,N/A,18/12/2020,"December 30, 2020",12,Incomplete,96,10300.89,online,ADMIN,2020
TRN294717,EMP018582,Agile & Scrum,Leadership,15/02/2022,,7,completed,73,21363.32,External,IT,2022
TRN873898,EMP016492,HR Compliance,Compliance,10/03/2024,15 Mar 2024,5,Dropped,45,,online,human resources,2024
TRN925598,EMP003468,Cybersecurity Awareness,soft skills,05-10-2023,18 May 2023,8,in progress,61,115336.9,Internal,Procurement,2023
TRN455267,EMP016942,Negotiation Skills,technical,02/04/2023,04-16-2023,14,Dropped,73,49380.54,Online,Procurment,2023
TRN503497,EMP002938,Digital Transformation,N/A,"January 16, 2023","January 21, 2023",5,,100,39907.83,internal,Engineerng,
TRN452754,EMP006674,Negotiation Skills,Technical,2021/10/12,23 Oct 2021,11 days,,66,64642.05,Online,procurement,2021
TRN491289,EMP000326,risk management,TECHNICAL,15 May 2020,28/05/2020,13,COMPLETED,82,,Internal,Mktg,2020
TRN628858,EMP001328,Digital Transformation,TECHNICAL,06 Apr 2024,04-12-2024,6,Dropped,88,22477.09,online,Finance,2024
TRN631039,EMP004865,Six Sigma Green Belt,soft skills,2024-03-31,"April 01, 2024",1,In Progress,86,60909.65,Internal,Legel,2024
TRN351693,EMP001872,data analysis,technical,17/10/2021,"October 25, 2021",8,in progress,98,127051.05,External,engineering,2021
TRN402850,EMP011678,Project Management,Technical,07-06-2021,07/07/2021,1,COMPLETED,,35550.31,online,Administraton,2021
TRN897084,EMP000422,design thinking,,2024/02/18,02-25-2024,7,COMPLETED,93,21534.3,External,RnD,2024
TRN457411,EMP013461,Python for Analytics,Technical,"August 26, 2021",2021-08-31,5,in progress,83,24286.69,internal,Enginering,2021
TRN513887,EMP019232,Leadership Fundamentals,Technical,23/05/2024,25 May 2024,2,Dropped,82,131234.14,,Customer Support,2024
TRN336734,EMP003035,SQL Essentials,Soft Skills,"December 31, 2020",,5,Incomplete,76,30315.45,EXTERNAL,Operatons,
TRN917660,EMP013931,SQL Essentials,Leadership,2023/07/12,07-13-2023,1,,91,65215.97,EXTERNAL,HR,2023
TRN677782,EMP007023,Time Management,,03-03-2020,2020/03/18,15 days,Completed,99,24293.85,External,procurement,2020
TRN296823,EMP017532,Design Thinking,Compliance,2022/11/13,,8,Incomplete,73,21634.1,External,Proc,2022
TRN709590,EMP001053,Project Management,Soft Skills,06-30-2023,15 Jul 2023,15,COMPLETED,80,37479.53,internal,Info Tech,2023
TRN390025,EMP005792,Advanced Excel,,01-15-2021,26/01/2021,11,completed,53,118400.18,online,H.R.,2021
TRN990527,EMP002367,sql essentials,soft skills,07-18-2023,2023-07-24,6,Incomplete,94,45109.52,internal,legal,2023
TRN997861,EMP019828,Presentation Skills,Technical,2021-10-14,2021-10-28,14,,78,80212.44,online,it,2021
TRN969683,EMP005729,cybersecurity awareness,,12-27-2023,10/01/2024,14,in progress,99,12077.42,External,finance,2023
TRN192414,EMP001308,Emotional Intelligence,Compliance,19 Apr 2021,27 Apr 2021,8,In Progress,84,110076.47,Internal,Operatons,2021
TRN608681,EMP001655,Emotional Intelligence,soft skills,25/01/2023,2023/02/06,12,In Progress,68,14799.98,External,HR,2023
TRN410074,EMP011427,Python for Analytics,TECHNICAL,03 Aug 2023,11 Aug 2023,8,completed,46,92212.3,internal,CS,2023
TRN205824,EMP915637,Time Management,soft skills,08 Jun 2023,2023-06-23,15,in progress,46,24607.26,EXTERNAL,procurement,2023
TRN708196,EMP007036,Six Sigma Green Belt,,09-18-2021,2021-10-01,13,Completed,44,42342.87,,Humaan Resources,2021
TRN961891,EMP007711,Digital Transformation,Soft Skills,11/07/2023,"July 12, 2023",1,,100,39933.1,internal,Legal,2023
TRN163735,EMP017630,Presentation Skills,TECHNICAL,12-01-2021,09/12/2021,8,Dropped,42,105503.9,Online,Cust Support,2021
TRN983750,EMP000927,presentation skills,Technical,10 Feb 2024,2024-02-23,13,In Progress,99,,EXTERNAL,Customer Support,2024
TRN545707,EMP012985,six sigma green belt,Soft Skills,05/01/2023,"January 15, 2023",10,Dropped,87,94229.17,,Legel,2023
TRN901917,EMP002801,Emotional Intelligence,technical,"August 03, 2020",2020/08/14,11,,86,26260.6,Internal,Sales,2020
TRN141037,EMP000272,Cybersecurity Awareness,Leadership,21/08/2021,2021/08/22,1,COMPLETED,89,38072.79,External,admin,2021
TRN853435,EMP016106,agile & scrum,Technical,2020-12-16,31/12/2020,15,Incomplete,100,11472.93,online,Mktg,2020
TRN963717,EMP003889,Six Sigma Green Belt,soft skills,2020-09-05,2020/09/09,4,Dropped,79,94329.64,Online,Eng,2020
TRN577803,EMP017394,Negotiation Skills,technical,2022-04-16,04-21-2022,5,In Progress,91,5106.8,Online,finance,2022
TRN322396,EMP923213,Agile & Scrum,N/A,"May 04, 2020",05 May 2020,1,COMPLETED,98,117399.0,online,Humaan Resources,2020
TRN851718,EMP011345,Digital Transformation,soft skills,"May 03, 2020",16 May 2020,13,Dropped,64,,online,Procurment,2020
TRN457502,EMP007206,Customer Handling,Soft Skills,04-20-2021,29/04/2021,9,Incomplete,98,56544.57,Internal,Research & Dev,2021
TRN682619,EMP007033,SQL Essentials,N/A,2023/11/06,2023-11-14,8,in progress,53,,External,Admin,2023
TRN552356,EMP018376,Advanced Excel,,2020-11-30,"December 01, 2020",1,COMPLETED,82,87009.84,,R&D,2020
TRN182813,EMP019048,Presentation Skills,Compliance,"January 04, 2024",2024-01-05,1,In Progress,79,109583.76,External,Research and Development,2024
TRN500676,EMP008559,Emotional Intelligence,Soft Skills,2020-01-10,2020/01/24,14,Dropped,87,30656.55,,Fin,2020
TRN569035,EMP004765,Python for Analytics,Soft Skills,14/03/2023,,12,Dropped,77,50519.73,internal,finance,2023
TRN877613,EMP016034,Advanced Excel,,"June 16, 2023","June 29, 2023",13 days,Dropped,65,149536.86,Internal,HR,2023
TRN252719,EMP012944,Cybersecurity Awareness,TECHNICAL,25 Jul 2022,,8,Completed,,8661.82,Online,Legal,2022
TRN972577,EMP004582,Leadership Fundamentals,Soft Skills,02/01/2024,"January 11, 2024",9,Incomplete,57,110065.26,online,Info Tech,2024
TRN158343,EMP010325,Emotional Intelligence,,09-24-2022,2022/10/09,15,,75,141686.93,internal,admin,2022
TRN846685,EMP018265,Leadership Fundamentals,Leadership,05-13-2020,,2,In Progress,98,141696.21,,Research & Dev,2020
TRN880363,EMP003529,Digital Transformation,Soft Skills,17/09/2021,"October 02, 2021",15,Completed,64,145830.54,Online,admin,
TRN948274,EMP018023,Project Management,soft skills,2021-04-14,2021-04-29,15,in progress,92,81754.11,Online,Enginering,2021
TRN713918,EMP017181,Emotional Intelligence,TECHNICAL,05 Jun 2021,,1,Dropped,53,27792.32,internal,Info Tech,2021
TRN892012,EMP017351,Risk Management,soft skills,"June 16, 2020",06-23-2020,7,completed,84,119295.22,online,Engineerng,2020
TRN506429,EMP003311,Power BI Basics,,"October 12, 2022",2022-10-27,15,Incomplete,,77837.95,Internal,Ops,2022
TRN207040,EMP000820,Leadership Fundamentals,technical,21/01/2020,2020-02-04,14 days,Completed,55,94071.08,Online,Operations,
TRN762822,EMP012570,Project Management,N/A,29/03/2020,07/04/2020,9,Dropped,82,98709.75,online,Customer service,2020
TRN182733,EMP019950,Project Management,technical,10-30-2023,2023/11/12,13,Incomplete,50,89402.58,EXTERNAL,Law,2023
TRN303170,EMP003859,Six Sigma Green Belt,Technical,30/10/2020,10/11/2020,11,Completed,49,34220.29,Online,Info Tech,2020
TRN137687,EMP012486,Negotiation Skills,Compliance,29 Jan 2024,01-31-2024,2,In Progress,58,92680.78,Online,legal,2024
TRN165316,EMP004616,Presentation Skills,Technical,29 Jun 2021,07-08-2021,9,completed,,,online,Mktg,2021
TRN705493,EMP009634,Emotional Intelligence,Compliance,2021-03-03,"March 11, 2021",8,Incomplete,95,,internal,Research and Development,2021
TRN438288,EMP016952,Presentation Skills,Soft Skills,10-22-2023,2023-10-28,6,Completed,98,65753.36,internal,LEGAL,2023
TRN477988,EMP008867,Customer Handling,soft skills,2023-04-17,02 May 2023,15,In Progress,52,136158.9,EXTERNAL,Human Resources,2023
TRN730075,EMP001756,strategic planning,technical,30/03/2022,"April 01, 2022",2,Incomplete,,138067.25,Internal,Operatons,2022
TRN710321,EMP005871,Data Analysis,N/A,04 Oct 2022,2022-10-18,14,completed,80,100911.61,,Customer Support,2022
TRN446306,EMP003036,Communication Skills,Compliance,07-26-2024,2024/08/10,15,COMPLETED,90,68910.14,internal,Fin,2024
TRN146114,EMP009865,Design Thinking,,11-12-2022,2022/11/17,5,,70,90628.82,Online,Procurement,2022
TRN597567,EMP010434,SQL Essentials,,"June 30, 2021",11/07/2021,11,completed,58,38248.81,Online,Research & Dev,2021
TRN464705,EMP008784,Cybersecurity Awareness,N/A,2021/03/03,2021/03/04,1 days,in progress,,116409.33,External,ENGINEERING,2021
TRN114515,EMP004851,Risk Management,soft skills,15/10/2021,30/10/2021,15,In Progress,72,73114.28,Internal,sales,2021
TRN423093,EMP009937,Python for Analytics,Leadership,23 Dec 2023,"December 30, 2023",7,Completed,85,33178.57,Online,ADMIN,2023
TRN206846,EMP013107,Financial Acumen,Compliance,2022-03-02,03 Mar 2022,1,In Progress,83,61743.51,,Enginering,2022
TRN464292,EMP004179,conflict resolution,technical,27 Apr 2022,"May 05, 2022",8,In Progress,76,108787.76,online,Procurment,2022
TRN431653,EMP011500,Project Management,Soft Skills,05/05/2023,"May 07, 2023",2,Incomplete,87,107942.41,,legal,2023
TRN411727,EMP019465,Customer Handling,TECHNICAL,22/11/2022,2022/11/29,7,COMPLETED,92,108774.95,Internal,Engineerng,2022
TRN288880,EMP004780,Communication Skills,Technical,2023-08-21,2023/08/26,5,In Progress,51,134645.53,internal,SALES,2023
TRN334552,EMP000428,Advanced Excel,technical,12-31-2021,2022-01-13,13,Dropped,94,6312.58,External,H.R.,2021
TRN952884,EMP005836,Project Management,TECHNICAL,19 Nov 2023,"November 23, 2023",4,,47,68487.74,internal,Sale,2023
TRN912311,EMP006187,Strategic Planning,Soft Skills,24 Jan 2023,02-04-2023,11,Incomplete,46,108920.62,External,Human Resources,2023
TRN129663,EMP013479,Agile & Scrum,,"May 30, 2021",06 Jun 2021,7,,62,143181.58,Internal,SALES,2021
TRN887476,EMP006535,Cloud Computing Basics,,14 May 2023,16 May 2023,2,Completed,77,66055.31,Online,Procurement,2023
TRN582692,EMP013381,Risk Management,Compliance,05-24-2023,27/05/2023,3,In Progress,89,84884.07,Internal,Procurement,2023
TRN716832,EMP014118,Data Analysis,Leadership,03-22-2020,2020/03/28,6,In Progress,40,81820.28,Internal,admin,2020
TRN132168,EMP015605,Negotiation Skills,Compliance,10 Jul 2021,20/07/2021,10,In Progress,49,142651.88,internal,R&D,2021
TRN414445,EMP013806,Leadership Fundamentals,N/A,03-13-2024,"March 20, 2024",7,in progress,,143296.14,Online,MARKETING,2024
TRN498032,EMP014896,HR Compliance,technical,14 May 2022,"May 21, 2022",7,Dropped,65,5436.98,Online,Mktg,2022
TRN962943,EMP015593,Six Sigma Green Belt,Soft Skills,"April 03, 2024",16/04/2024,13,In Progress,100,134157.09,internal,Legal,2024
TRN596393,EMP008263,Agile & Scrum,TECHNICAL,12-22-2022,"December 29, 2022",7,,93,106594.17,Online,marketing,2022
TRN937935,EMP014514,Power BI Basics,Leadership,22/06/2022,2022-06-24,2,Completed,63,28053.35,Internal,it,2022
TRN283156,EMP013132,Advanced Excel,Soft Skills,20/03/2020,2020-03-25,5,Completed,90,39013.67,External,Cust Support,2020
TRN625800,EMP003832,Six Sigma Green Belt,,14/09/2020,"September 27, 2020",13,,71,87424.99,External,FINANCE,2020
TRN848012,EMP001255,Time Management,,02-01-2022,13 Feb 2022,12,completed,69,55589.79,online,Slaes,2022
TRN203079,EMP017957,Conflict Resolution,TECHNICAL,11-30-2023,"December 14, 2023",14,in progress,69,107658.07,,RnD,2023
TRN880493,EMP009974,HR Compliance,Compliance,05-05-2020,2020-05-06,1,,54,26996.33,EXTERNAL,I.T.,2020
TRN707404,EMP006765,Negotiation Skills,Soft Skills,01/12/2021,"December 04, 2021",3,completed,56,,EXTERNAL,Slaes,2021
TRN618472,EMP005596,Cybersecurity Awareness,N/A,"February 25, 2024",05 Mar 2024,9,in progress,94,62863.18,internal,operations,2024
TRN597174,EMP004796,Emotional Intelligence,Technical,04 Jul 2022,07-15-2022,11,COMPLETED,77,104119.13,External,Finance,2022
TRN927820,EMP007701,Project Management,,2024-03-17,03-22-2024,5,,75,148111.8,EXTERNAL,Fiance,2024
TRN750590,EMP014217,Digital Transformation,N/A,27 Jul 2023,2023/07/31,4,in progress,49,38894.97,internal,H.R.,2023
TRN241794,EMP000415,Data Analysis,TECHNICAL,10-26-2020,28 Oct 2020,2,completed,86,18885.26,Internal,Operatons,2020
TRN405666,EMP003677,Financial Acumen,Soft Skills,2020/04/09,2020/04/21,12,completed,60,134575.92,,operations,2020
TRN741085,EMP011741,Emotional Intelligence,Soft Skills,04-07-2020,"April 19, 2020",12,,86,46830.45,online,Sales,2020
TRN278813,EMP007154,Design Thinking,N/A,2021-09-16,30 Sep 2021,14,Incomplete,73,149673.27,,PROCUREMENT,2021
TRN240597,EMP005792,Power BI Basics,,12-16-2022,"December 28, 2022",12,In Progress,93,104080.11,online,Engineerng,
TRN819943,EMP016720,Design Thinking,technical,27 May 2021,,14,COMPLETED,44,85469.15,Internal,Mktg,2021
TRN640149,EMP010214,Time Management,Soft Skills,2024-04-06,19/04/2024,13,Dropped,81,47696.0,External,Operations,2024
TRN184582,EMP018088,Agile & Scrum,Compliance,28/12/2020,2020/12/29,1,,71,94506.48,,SALES,2020
TRN380757,EMP007650,Six Sigma Green Belt,Leadership,"April 28, 2024",05-11-2024,13,in progress,74,,Online,Law,2024
TRN830791,EMP014944,Communication Skills,technical,08/07/2022,2022/07/18,10,Completed,93,59133.31,online,Customer service,2022
TRN562005,EMP016437,SQL Essentials,soft skills,07-15-2021,"July 27, 2021",12,Dropped,61,21060.67,internal,Sales,2021
TRN991464,EMP016760,Emotional Intelligence,,14/12/2020,2020-12-25,11,Dropped,49,,Online,OPERATIONS,2020
TRN352568,EMP000134,Time Management,Technical,"July 20, 2023",2023-07-31,11,Dropped,,111112.03,Online,Finance,2023
TRN435346,EMP010763,communication skills,Compliance,"January 19, 2024",,11,Incomplete,95,68881.85,Internal,CS,2024
TRN625566,EMP017328,Time Management,Leadership,2021-09-28,10-05-2021,7,completed,50,127996.5,Online,Research and Development,2021
TRN419805,EMP000994,Risk Management,soft skills,"November 03, 2023","November 06, 2023",3,Dropped,66,124654.12,online,Procurement,2023
TRN725454,EMP004741,power bi basics,Compliance,11-04-2021,2021/11/19,15,completed,51,95129.97,online,SALES,2021
TRN422541,EMP018416,Python for Analytics,TECHNICAL,"December 21, 2023",12-23-2023,2,In Progress,53,,online,Humaan Resources,2023
TRN890760,EMP014002,communication skills,technical,2023-03-01,2023/03/02,1,,95,29615.81,External,Procurment,2023
TRN658342,EMP001483,project management,N/A,2022/06/04,06-13-2022,9 days,Dropped,73,23268.21,External,marketing,
TRN711491,EMP007111,Python for Analytics,technical,09-26-2021,08/10/2021,12 days,in progress,61,,internal,Marketting,2021
TRN351253,EMP003515,emotional intelligence,Soft Skills,26/09/2022,10-01-2022,5,in progress,87,48089.5,EXTERNAL,Enginering,2022
TRN968762,EMP004974,Risk Management,technical,2021-12-05,2021/12/14,9,,53,111739.1,External,LEGAL,2021
TRN670694,EMP911306,Communication Skills,N/A,20 Jun 2022,"July 02, 2022",12,Completed,50,77408.43,External,OPERATIONS,2022
TRN283222,EMP003872,Risk Management,Leadership,04-29-2023,"May 09, 2023",10,COMPLETED,77,113141.78,Online,R&D,2023
TRN737007,EMP001178,Communication Skills,N/A,19 Jul 2022,"July 20, 2022",1,in progress,75,80506.36,internal,Engineering,2022
TRN842633,EMP011289,Leadership Fundamentals,Leadership,10-26-2021,,1,Dropped,87,95744.26,EXTERNAL,Enginering,2021
TRN499668,EMP005540,Negotiation Skills,Compliance,13 Mar 2024,2024/03/19,6,Completed,53,,,Administration,2024
TRN106328,EMP003384,HR Compliance,TECHNICAL,19 Apr 2024,2024-04-20,1,Dropped,98,102152.41,internal,engineering,2024
TRN124382,EMP003031,SQL Essentials,,21 Oct 2022,2022/10/23,2,COMPLETED,78,14871.01,Online,Human Resource,2022
TRN470878,EMP016370,Communication Skills,TECHNICAL,06-09-2024,06-19-2024,10,in progress,83,116358.48,External,Legel,2024
TRN940800,EMP003803,Python for Analytics,Leadership,2022/10/21,2022-11-03,13,Dropped,99,144082.98,Online,procurement,2022
TRN623833,EMP006430,Cloud Computing Basics,TECHNICAL,2021/01/30,2021-02-04,5,Completed,48,79668.3,online,PROCUREMENT,2021
TRN143566,EMP012698,Design Thinking,Technical,07/07/2020,19 Jul 2020,12 days,completed,45,65316.72,EXTERNAL,Proc,2020
TRN665294,EMP014715,Negotiation Skills,N/A,07 Apr 2020,10/04/2020,3,,68,81018.03,,Law,2020
TRN234918,EMP000503,Conflict Resolution,Soft Skills,26/01/2021,,8,Dropped,59,122569.22,Internal,Engineerng,2021
TRN649579,EMP004797,Strategic Planning,,2020/12/31,03/01/2021,3,,100,140335.54,External,procurement,2020
TRN943968,EMP013925,Python for Analytics,Soft Skills,08/12/2020,10/12/2020,2,in progress,75,53887.12,Internal,Customer service,2020
TRN979065,EMP001356,customer handling,,30/03/2021,11 Apr 2021,12,in progress,90,26227.79,internal,Sales,2021
TRN785394,EMP000723,HR Compliance,Soft Skills,2021/11/30,2021-12-14,14,In Progress,79,68023.05,EXTERNAL,Procurement,2021
TRN519862,EMP003928,Agile & Scrum,TECHNICAL,2024-01-20,02 Feb 2024,13,COMPLETED,68,95904.75,,Administraton,2024
TRN476134,EMP018571,Agile & Scrum,Soft Skills,2023-03-11,2023/03/17,6 days,Dropped,42,130953.09,online,RnD,2023
TRN703281,EMP002203,Strategic Planning,Soft Skills,16/10/2021,10-19-2021,3,Incomplete,75,121459.56,,SALES,2021
TRN781701,EMP012348,Customer Handling,TECHNICAL,"July 08, 2023",2023-07-11,3,COMPLETED,90,50860.5,internal,Research and Development,2023
TRN607290,EMP004241,Data Analysis,TECHNICAL,27 Aug 2021,29/08/2021,2,completed,67,53952.62,External,Fiance,2021
TRN726787,EMP008708,Design Thinking,,15/12/2022,2022/12/27,12,Dropped,,98978.23,EXTERNAL,ADMIN,2022
TRN203721,EMP006881,design thinking,technical,"March 29, 2023",10 Apr 2023,12,COMPLETED,43,32767.51,Internal,PROCUREMENT,2023
TRN763729,EMP003861,Conflict Resolution,Compliance,2021/09/26,28 Sep 2021,2,Completed,71,93157.88,EXTERNAL,r&d,2021
TRN632330,EMP006626,Negotiation Skills,soft skills,03-12-2021,2021-03-21,9,,,31844.0,External,Law,2021
TRN779302,EMP010400,Project Management,Soft Skills,2020-10-03,"October 09, 2020",6,COMPLETED,78,,Online,customer support,2020
TRN275021,EMP005962,Six Sigma Green Belt,Leadership,"March 11, 2024",19 Mar 2024,8,Incomplete,86,36735.7,internal,H.R.,2024
TRN579130,EMP964113,Cloud Computing Basics,Leadership,2021/08/10,,3,In Progress,64,29761.39,Online,Research and Development,
TRN390647,EMP019765,Cloud Computing Basics,Compliance,"February 09, 2021",,13,completed,,133155.37,online,finance,2021
TRN881415,EMP014695,Advanced Excel,Soft Skills,2023/12/07,12-19-2023,12,Incomplete,43,9669.83,External,human resources,2023
TRN637077,EMP008371,Communication Skills,Compliance,08/09/2022,09-23-2022,15,COMPLETED,56,142840.09,online,LEGAL,2022
TRN317849,EMP912207,Six Sigma Green Belt,technical,2021/05/31,2021-06-14,14,,79,31064.14,,r&d,2021
TRN579986,EMP014372,Agile & Scrum,Technical,"November 02, 2023",04/11/2023,2,,59,14020.95,Internal,R&D,2023
TRN431315,EMP011018,Data Analysis,soft skills,"March 17, 2022",22/03/2022,5,,44,10335.25,Internal,Proc,2022
TRN476742,EMP007160,Advanced Excel,technical,01-17-2022,2022-01-23,6,Incomplete,88,142963.64,Online,Eng,2022
TRN736573,EMP013302,Communication Skills,Leadership,"August 29, 2020",30 Aug 2020,1 days,Incomplete,58,142708.98,,Law,2020
TRN125543,EMP002975,Cybersecurity Awareness,N/A,11-01-2020,"November 04, 2020",3 days,Completed,90,8672.02,online,Info Tech,2020
TRN715962,EMP019112,Six Sigma Green Belt,technical,31/05/2020,06-14-2020,14,In Progress,41,44674.64,internal,human resources,2020
TRN182813,EMP019048,Presentation Skills,Compliance,"January 04, 2024",2024-01-05,1,In Progress,79,109583.76,External,Research and Development,2024
TRN939854,EMP019575,Communication Skills,Compliance,"June 08, 2024",2024/06/15,7,Incomplete,42,21479.79,Internal,Administraton,2024
