goal_id,employee_id,goal_type,goal_description,set_date,due_date,target_value,achieved_value,achievement_pct,status,quarter,department,priority
GOAL702135,EMP016557,PRODUCTIVITY,Achieve productivity target for the period,02-16-2024,2024/05/19,904817.59,759040.54,83.9%,In Progress,Q4 2022,Sale,high
GOAL738285,EMP006311,Team Building,Achieve team building target for the period,03/06/2022,,178603.83,224714.3,,cancelled,Q2-2023,Humaan Resources,Low
GOAL431376,EMP922980,Training Completion,,03 May 2021,2021-10-11,112953.02,52338.49,46.3%,Cancelled,Q1 2024,legal,LOW
GOAL644030,EMP014961,Training Completion,Achieve training completion target for the period,11/02/2023,2023-08-02,294522.05,202909.96,68.9%,Cancelled,2023-Q3,HR,
GOAL407834,EMP002387,Cost Reduction,Achieve cost reduction target for the period,22 Sep 2023,01-29-2024,987918.59,529734.94,53.6%,Overdue,2022 Q1,HR,Low
GOAL783611,EMP004945,Productivity,Achieve productivity target for the period,2023-03-08,08-27-2023,69019.69,66099.46,95.8%,overdue,Q12022,Engineering,LOW
GOAL429014,EMP000695,Skill Development,Achieve skill development target for the period,16/10/2023,07/01/2024,873524.43,1186776.84,135.9%,Cancelled,,Sale,high
GOAL606838,EMP013936,Project Delivery,Achieve project delivery target for the period,04 Jan 2022,18/04/2022,870001.32,669776.78,77.0%,Overdue,q3 2022,admin,Low
GOAL949665,EMP016168,Cost Reduction,Achieve cost reduction target for the period,07 Jun 2023,10-09-2023,90711.86,46441.53,51.2%,,Q1 2024,RnD,Medium
GOAL753851,EMP006993,Training Completion,Achieve training completion target for the period,01-21-2024,12 Mar 2024,566125.29,722807.75,127.7%,completed,Q4 2022,Operatons,Low
GOAL843006,EMP008900,Sales Target,Achieve sales target target for the period,25 Nov 2021,09 Apr 2022,971157.33,280173.84,28.8%,Completed,Q3 2021,Research & Dev,
GOAL308457,EMP014195,Process Improvement,Achieve process improvement target for the period,24/07/2023,09 Dec 2023,435095.87,570785.41,131.2%,overdue,Q2 2024,I.T.,LOW
GOAL321431,EMP002764,Training Completion,Achieve training completion target for the period,26/04/2023,2023/07/26,338754.04,250501.62,73.9%,Completed,2022 Q1,Slaes,LOW
GOAL797080,EMP009631,Process Improvement,Achieve process improvement target for the period,03-09-2023,09-01-2023,302846.1,274310.19,,N/A,Q1 2023,LEGAL,
GOAL690230,EMP005912,Innovation,Achieve innovation target for the period,03 Jul 2021,11-09-2021,70606.83,60906.74,86.3%,In Progress,Q1 2022,Procurment,Medium
GOAL678217,EMP015308,Innovation,Achieve innovation target for the period,10-02-2021,,141191.89,149196.96,105.7%,N/A,Q1 2024,Procurement,Medium
GOAL392688,EMP018466,Project Delivery,Achieve project delivery target for the period,29 Apr 2021,2021-06-29,,24873.31,,completed,Q2 2021,CS,LOW
GOAL490394,EMP005888,Process Improvement,Achieve process improvement target for the period,12-07-2022,01/04/2023,629190.74,800192.56,127.2%,completed,Q3 2022,Customer Support,N/A
GOAL444676,EMP000889,Compliance,Achieve compliance target for the period,"August 29, 2022",02-25-2023,401387.14,358178.93,89.2%,completed,Q1 2024,r&d,High
GOAL561277,EMP019061,Productivity,Achieve productivity target for the period,2023-01-17,03-08-2023,315428.99,285777.71,90.6%,N/A,Q1 2023,Customer service,Low
GOAL710516,EMP002693,Skill Development,Achieve skill development target for the period,20/08/2021,"December 24, 2021",714379.83,732103.59,102.5%,overdue,Q2 2023,sales,high
GOAL172418,EMP018301,Productivity,Achieve productivity target for the period,2022-01-12,07-10-2022,466139.79,512851.96,110.0%,in progress,Q2 2022,Sale,Low
GOAL436920,EMP003257,Customer Satisfaction,Achieve customer satisfaction target for the period,2021/06/18,"August 26, 2021",711875.23,865217.16,121.5%,in progress,Q4 2021,Administraton,LOW
GOAL807536,EMP006455,Sales Target,Achieve sales target target for the period,21 Dec 2023,"February 22, 2024",327570.87,414452.97,126.5%,,Q1 2022,RnD,LOW
GOAL652869,EMP017406,Revenue Growth,Achieve revenue growth target for the period,13/01/2021,2021-06-10,694273.84,311986.97,44.9%,,q2 2024,Procurment,LOW
GOAL701610,EMP014503,Quality Improvement,Achieve quality improvement target for the period,"February 27, 2022",30 Apr 2022,225180.7,,32.2%,in progress,Q4 2022,Admin,
GOAL768796,EMP002921,Skill Development,Achieve skill development target for the period,23/02/2021,21/07/2021,925834.66,1203680.01,130.0%,In Progress,Q1 2021,Admin,high
GOAL613178,EMP003305,Process Improvement,Achieve process improvement target for the period,30 Mar 2021,,412715.41,274302.09,66.5%,Completed,Q12022,Operations,Low
GOAL859113,EMP002094,Customer Satisfaction,Achieve customer satisfaction target for the period,2021/08/30,2021/11/11,629731.46,549072.63,87.2%,Overdue,q3 2022,Eng,high
GOAL884969,EMP007282,Training Completion,Achieve training completion target for the period,06-05-2021,06 Oct 2021,414544.38,130391.23,31.5%,In Progress,Q4 2023,Research and Development,
GOAL557099,EMP017470,INNOVATION,Achieve innovation target for the period,18 Mar 2022,2022-05-19,431418.85,317812.75,73.7%,Completed,Q2 2021,Human Resources,high
GOAL138831,EMP014930,Customer Satisfaction,Achieve customer satisfaction target for the period,17 Oct 2023,23/02/2024,632388.57,419849.11,,N/A,Q1 2021,Procurement,High
GOAL970477,EMP001818,Revenue Growth,Achieve revenue growth target for the period,"February 10, 2022",2022-08-09,,645370.28,100.0%,,Q4 2023,Mktg,Low
GOAL367309,EMP011212,Innovation,Achieve innovation target for the period,2021-11-11,02-16-2022,264628.79,117059.28,44.2%,completed,Q4 2023,I.T.,MEDIUM
GOAL158322,EMP000008,Cost Reduction,Achieve cost reduction target for the period,13 Jan 2024,2024/05/18,244970.64,135346.15,55.2%,Overdue,Q2 2022,marketing,Low
GOAL748274,EMP002139,Customer Satisfaction,Achieve customer satisfaction target for the period,2022/05/23,31/07/2022,708240.99,769012.56,108.6%,overdue,Q4 2023,Administraton,Medium
GOAL692929,EMP005343,Team Building,Achieve team building target for the period,28 Jan 2024,2024-04-12,466480.74,370862.28,79.5%,In Progress,Q2-2023,PROCUREMENT,High
GOAL719473,EMP018861,Quality Improvement,Achieve quality improvement target for the period,03-08-2021,06/05/2021,744730.69,683251.02,91.7%,Overdue,2023-Q3,Sale,MEDIUM
GOAL578796,EMP010272,Innovation,Achieve innovation target for the period,21 Dec 2021,2022/03/27,674788.92,598758.44,88.7%,Cancelled,Q3 2023,PROCUREMENT,high
GOAL846678,EMP018931,Sales Target,Achieve sales target target for the period,2022-03-04,2022-06-06,662048.3,,86.3%,cancelled,Q2 2024,legal,Medium
GOAL270924,EMP015561,Team Building,,04-05-2021,29 Sep 2021,974447.47,226390.9,23.2%,,Q1 2022,Legal,high
GOAL632044,EMP002113,Process Improvement,Achieve process improvement target for the period,2023/10/13,01-30-2024,,761874.92,129.2%,in progress,2023-Q3,legal,MEDIUM
GOAL327874,EMP015724,Training Completion,Achieve training completion target for the period,"August 08, 2021",2021-10-23,184590.9,252682.3,136.9%,in progress,Q4 2023,marketing,N/A
GOAL624343,EMP014017,Customer Satisfaction,Achieve customer satisfaction target for the period,2021-09-04,24/12/2021,55655.93,29825.98,53.6%,Completed,Q4 2021,Legel,MEDIUM
GOAL996628,EMP008182,Productivity,Achieve productivity target for the period,"June 05, 2021",2021/09/24,762571.2,,53.4%,Overdue,Q2 2022,Engineerng,N/A
GOAL941053,EMP000307,Revenue Growth,Achieve revenue growth target for the period,"October 19, 2022",2023-03-21,937510.85,835896.33,89.2%,cancelled,Q2 2021,PROCUREMENT,Medium
GOAL106514,EMP001113,Quality Improvement,Achieve quality improvement target for the period,18 Oct 2022,"January 20, 2023",566570.46,237645.16,41.9%,overdue,2022 Q1,IT,LOW
GOAL876682,EMP019438,Productivity,Achieve productivity target for the period,18 Mar 2021,09/05/2021,761489.95,568425.02,74.6%,cancelled,Q3 2023,Admin,Low
GOAL156929,EMP017713,Revenue Growth,Achieve revenue growth target for the period,20 Jun 2021,27/08/2021,313906.03,388942.82,123.9%,overdue,2023-Q3,Sales,LOW
GOAL161481,EMP005833,Sales Target,Achieve sales target target for the period,21 Sep 2023,03-17-2024,679762.95,415818.94,61.2%,Completed,Q2-2023,LEGAL,LOW
GOAL655538,EMP017280,Productivity,Achieve productivity target for the period,"May 05, 2023",15 Jun 2023,432123.31,139589.64,32.3%,Cancelled,Q2-2023,Legal,
GOAL266123,EMP003498,Productivity,Achieve productivity target for the period,25 Jan 2022,,448923.18,254819.74,56.8%,cancelled,Q4 2021,customer support,High
GOAL232319,EMP010938,Customer Satisfaction,Achieve customer satisfaction target for the period,04-04-2023,2023-07-31,566920.88,271108.88,47.8%,Completed,2023-Q3,MARKETING,High
GOAL110778,EMP014122,Productivity,Achieve productivity target for the period,2022-11-11,"April 29, 2023",117801.7,123365.12,104.7%,N/A,2022 Q1,Marketing,
GOAL590649,EMP005591,Revenue Growth,Achieve revenue growth target for the period,2021/09/09,2022-02-14,564613.73,481914.65,85.4%,N/A,Q4 2023,Info Tech,MEDIUM
GOAL371804,EMP011279,INNOVATION,Achieve innovation target for the period,2022-08-10,01-14-2023,693227.09,,40.4%,,Q2 2021,marketing,High
GOAL655031,EMP002773,Revenue Growth,Achieve revenue growth target for the period,01 Jul 2021,2021-11-07,738268.91,511657.63,69.3%,,Q1 2023,Humaan Resources,MEDIUM
GOAL226070,EMP007632,Compliance,Achieve compliance target for the period,"November 23, 2021",2022-04-14,827948.64,868239.27,104.9%,Completed,Q3 2024,Administration,N/A
GOAL728793,EMP011265,Innovation,Achieve innovation target for the period,2023-03-08,2023-06-14,742771.87,283409.56,38.2%,in progress,Q12022,customer support,High
GOAL897003,EMP010504,Training Completion,Achieve training completion target for the period,"September 20, 2022",01-22-2023,567677.11,334865.76,59.0%,In Progress,,finance,MEDIUM
GOAL719488,EMP015691,Productivity,Achieve productivity target for the period,03/04/2022,2022/08/25,534405.87,395497.97,74.0%,cancelled,Q1 2023,SALES,Low
GOAL579905,EMP003028,Innovation,Achieve innovation target for the period,29/07/2022,11-20-2022,588637.49,497076.03,84.4%,Completed,Q3 2023,Cust Support,N/A
GOAL817525,EMP016738,Innovation,Achieve innovation target for the period,"April 17, 2023",10/08/2023,506482.37,303112.5,,overdue,Q3 2021,SALES,high
GOAL202226,EMP000772,Customer Satisfaction,Achieve customer satisfaction target for the period,04 Feb 2022,23 Apr 2022,203508.79,,52.9%,completed,Q3 2023,marketing,Medium
GOAL668670,EMP018297,Compliance,Achieve compliance target for the period,05-09-2021,2021/10/04,118000.86,74551.29,63.2%,Completed,Q4 2021,Ops,high
GOAL223880,EMP012384,Innovation,Achieve innovation target for the period,2022-06-28,"July 29, 2022",526789.93,625795.17,118.8%,Cancelled,Q1 2022,Human Resources,LOW
GOAL385846,EMP017578,Productivity,Achieve productivity target for the period,"January 20, 2023",13 May 2023,183380.47,243841.65,133.0%,Cancelled,q2 2024,Engineering,Medium
GOAL667593,EMP010672,Innovation,Achieve innovation target for the period,2023-11-21,16/05/2024,835710.31,450989.54,54.0%,Overdue,Q4 2021,Sales,MEDIUM
GOAL308881,EMP005489,Sales Target,Achieve sales target target for the period,2024/01/05,2024/04/07,337052.27,142729.37,42.3%,overdue,Q4 2021,CS,Medium
GOAL731181,EMP012224,Team Building,,2023/03/16,2023/05/05,108993.82,81587.68,74.9%,,Q4 2021,IT,
GOAL749489,EMP019738,Project Delivery,,2022/01/27,"May 01, 2022",739447.65,754289.89,102.0%,cancelled,2022 Q1,sales,
GOAL164543,EMP011297,Innovation,Achieve innovation target for the period,2022/10/16,2023-01-11,573560.56,410910.09,71.6%,in progress,q3 2022,Enginering,Low
GOAL110890,EMP981067,Customer Satisfaction,,04-07-2021,2021-07-19,899119.35,,106.0%,overdue,Q2 2023,customer support,Medium
GOAL334905,EMP016148,Skill Development,Achieve skill development target for the period,"November 24, 2022","April 21, 2023",181869.73,178504.14,98.1%,completed,Q1 2023,Fin,high
GOAL244931,EMP009656,COMPLIANCE,Achieve compliance target for the period,"April 17, 2023",2023-06-27,715676.18,476546.8,,overdue,Q3 2024,r&d,
GOAL695391,EMP008667,Compliance,Achieve compliance target for the period,26/02/2021,2021/07/13,624920.91,460397.74,73.7%,Overdue,Q2 2024,SALES,high
GOAL433823,EMP015310,Compliance,Achieve compliance target for the period,02-18-2022,"June 20, 2022",833680.92,834453.78,100.1%,Completed,Q4 2023,Legel,LOW
GOAL967693,EMP007532,Process Improvement,Achieve process improvement target for the period,24 Jul 2023,10-12-2023,742800.94,,100.4%,overdue,Q4 2022,Sale,MEDIUM
GOAL327363,EMP014219,Training Completion,Achieve training completion target for the period,"March 25, 2022",2022-07-06,695703.78,807186.55,116.0%,Completed,Q12022,Information Technology,LOW
GOAL860227,EMP001974,Revenue Growth,Achieve revenue growth target for the period,2022-11-06,19/01/2023,553403.0,178383.7,32.2%,,2022 Q1,Law,Low
GOAL957578,EMP018567,Process Improvement,Achieve process improvement target for the period,2021/10/07,2021-12-17,944980.28,1182961.04,125.2%,in progress,Q1 2024,Slaes,High
GOAL650351,EMP959447,Cost Reduction,Achieve cost reduction target for the period,09-14-2021,23 Nov 2021,252961.9,171662.98,67.9%,Cancelled,,Mktg,Medium
GOAL266919,EMP014816,Process Improvement,Achieve process improvement target for the period,"February 01, 2022",2022-07-10,291041.27,256353.23,88.1%,Cancelled,Q2-2023,Slaes,Low
GOAL135385,EMP009908,Quality Improvement,Achieve quality improvement target for the period,"May 30, 2021",,739790.86,808158.9,109.2%,Completed,Q2 2021,H.R.,LOW
GOAL217038,EMP008831,PRODUCTIVITY,Achieve productivity target for the period,"January 01, 2021",2021/05/28,104439.42,73327.48,70.2%,cancelled,Q2 2023,Fin,LOW
GOAL528300,EMP013410,Project Delivery,Achieve project delivery target for the period,13 Apr 2021,"July 05, 2021",167354.01,75424.08,45.1%,N/A,Q1 2023,RnD,MEDIUM
GOAL509292,EMP014018,Quality Improvement,Achieve quality improvement target for the period,"July 08, 2022",2022/09/26,182273.65,207238.81,113.7%,completed,2022 Q1,IT,MEDIUM
GOAL880798,EMP006687,Skill Development,,09-04-2023,15/01/2024,415313.34,348438.8,83.9%,,Q2 2024,Fin,LOW
GOAL284538,EMP000317,Innovation,Achieve innovation target for the period,25 Aug 2022,2023/01/03,448813.29,,122.9%,Cancelled,Q2 2021,admin,MEDIUM
GOAL241576,EMP006029,Project Delivery,Achieve project delivery target for the period,17/06/2023,"December 05, 2023",221312.45,234848.47,106.1%,cancelled,Q4 2023,marketing,Low
GOAL774966,EMP011992,Customer Satisfaction,Achieve customer satisfaction target for the period,2021/02/02,02/07/2021,752928.39,451620.29,60.0%,Completed,Q1 2021,human resources,
GOAL383139,EMP008486,Quality Improvement,Achieve quality improvement target for the period,21 Oct 2023,"March 14, 2024",635661.07,362832.97,57.1%,Completed,Q1 2022,Fin,MEDIUM
GOAL600421,EMP003038,Process Improvement,Achieve process improvement target for the period,18 Jan 2022,2022-06-07,57916.78,57566.08,99.4%,In Progress,q3 2022,FINANCE,
GOAL861936,EMP005368,Cost Reduction,Achieve cost reduction target for the period,25/03/2021,,984578.17,261341.02,26.5%,overdue,Q2 2021,Administraton,high
GOAL479798,EMP001504,Skill Development,Achieve skill development target for the period,07-13-2021,30/08/2021,709107.46,,83.8%,N/A,Q1 2022,Sales,Low
GOAL443133,EMP012479,Team Building,Achieve team building target for the period,2022-05-09,11-04-2022,109057.69,123832.18,113.5%,in progress,q3 2022,Research and Development,high
GOAL435966,EMP012030,Productivity,Achieve productivity target for the period,2022-10-26,01-04-2023,478549.38,520797.18,108.8%,overdue,Q2 2023,Research & Dev,Low
GOAL814463,EMP004319,Compliance,,16/06/2021,"September 29, 2021",353302.54,,115.5%,,Q3 2024,sales,High
GOAL564315,EMP008840,Customer Satisfaction,Achieve customer satisfaction target for the period,29/11/2021,2022-03-15,691267.37,615845.64,89.1%,Cancelled,Q2-2023,LEGAL,Medium
GOAL776967,EMP007519,Skill Development,Achieve skill development target for the period,2023-02-19,16/04/2023,932762.36,877818.75,94.1%,completed,Q2 2023,Finance,High
GOAL395941,EMP015478,Process Improvement,Achieve process improvement target for the period,2021/07/05,2021-11-11,287021.4,374569.83,130.5%,cancelled,Q3 2022,Info Tech,high
GOAL976903,EMP016110,Innovation,Achieve innovation target for the period,13/07/2023,18/08/2023,112274.75,,28.2%,Overdue,2023-Q3,Customer service,High
GOAL732344,EMP000136,SALES TARGET,Achieve sales target target for the period,27 Mar 2021,,433299.13,187982.19,43.4%,overdue,q2 2024,Ops,MEDIUM
GOAL822026,EMP003410,Process Improvement,Achieve process improvement target for the period,08-09-2023,"November 16, 2023",112243.69,47058.74,41.9%,,Q1 2023,Customer Support,high
GOAL638964,EMP011442,Productivity,Achieve productivity target for the period,28/12/2021,24 Mar 2022,968670.98,387544.02,40.0%,Overdue,Q2 2021,OPERATIONS,N/A
GOAL602964,EMP003896,Productivity,Achieve productivity target for the period,2022/12/06,23 Jan 2023,477735.62,660042.19,138.2%,N/A,Q3 2021,Enginering,Medium
GOAL618840,EMP003725,Cost Reduction,,"October 06, 2023",,440084.49,191941.83,43.6%,Completed,q2 2024,Sale,high
GOAL535550,EMP002239,Productivity,Achieve productivity target for the period,08-31-2021,"November 08, 2021",210597.17,237094.59,,Overdue,Q1 2022,R&D,LOW
GOAL514468,EMP005661,Cost Reduction,Achieve cost reduction target for the period,2021-12-11,02-14-2022,412226.84,518906.93,125.9%,in progress,Q3 2024,operations,N/A
GOAL311310,EMP013763,Quality Improvement,,22/06/2022,06 Nov 2022,938691.68,1252491.76,133.4%,Completed,2022 Q1,Engineering,LOW
GOAL762530,EMP011690,Compliance,Achieve compliance target for the period,2021/10/24,2022/01/31,699227.31,783939.12,112.1%,Overdue,Q4 2021,I.T.,
GOAL636741,EMP002141,Sales Target,Achieve sales target target for the period,03/05/2021,2021/07/10,255969.27,,125.4%,,Q1 2022,it,LOW
GOAL350981,EMP000527,Quality Improvement,Achieve quality improvement target for the period,"July 15, 2023",2023-11-10,251081.19,200446.72,79.8%,in progress,2023-Q3,IT,high
GOAL401801,EMP006420,TRAINING COMPLETION,Achieve training completion target for the period,2021/07/14,04/10/2021,,288138.9,67.8%,Completed,Q3 2024,human resources,High
GOAL101275,EMP004020,COMPLIANCE,Achieve compliance target for the period,2021/05/16,20/09/2021,767587.4,230043.54,30.0%,Completed,Q2 2024,Proc,N/A
GOAL230106,EMP010956,Cost Reduction,Achieve cost reduction target for the period,08/02/2023,08 Apr 2023,577913.29,305963.22,,In Progress,Q1 2024,FINANCE,N/A
GOAL576575,EMP019202,Project Delivery,Achieve project delivery target for the period,24/04/2021,13 Jul 2021,749668.25,464171.99,61.9%,N/A,Q2 2022,Marketting,
GOAL338759,EMP006996,Innovation,Achieve innovation target for the period,2023-02-19,04-26-2023,513939.98,637255.7,124.0%,completed,Q2 2022,Operatons,
GOAL464556,EMP000997,Productivity,Achieve productivity target for the period,"October 15, 2022",2023-03-26,887270.32,762447.09,85.9%,In Progress,,Fiance,LOW
GOAL925440,EMP018743,Training Completion,Achieve training completion target for the period,15 Sep 2023,11-14-2023,833977.41,638506.76,76.6%,In Progress,2022 Q1,Engineering,LOW
GOAL488801,EMP001506,Process Improvement,Achieve process improvement target for the period,2023/11/13,04/01/2024,315462.25,398377.36,126.3%,completed,Q2 2023,Human Resource,Low
GOAL329026,EMP007304,Productivity,Achieve productivity target for the period,"April 19, 2023",,206670.35,99815.91,48.3%,,Q4 2023,Administration,Low
GOAL563941,EMP018093,QUALITY IMPROVEMENT,Achieve quality improvement target for the period,"May 27, 2023",2023-07-29,135965.66,169260.38,124.5%,N/A,Q4 2021,Operations,High
GOAL218915,EMP006114,Cost Reduction,Achieve cost reduction target for the period,15 Mar 2023,2023/09/08,376021.96,195740.86,52.1%,In Progress,Q2 2021,operations,MEDIUM
GOAL981312,EMP000814,Training Completion,Achieve training completion target for the period,2021-04-29,2021/06/07,822097.49,,20.2%,In Progress,Q1 2024,R&D,Low
GOAL830728,EMP007926,Skill Development,Achieve skill development target for the period,23 Jan 2024,07-05-2024,360392.28,338936.61,94.0%,N/A,Q2-2023,Research and Development,N/A
GOAL351296,EMP006366,Team Building,Achieve team building target for the period,"May 04, 2022","July 12, 2022",539210.57,717672.67,133.1%,,2023-Q3,Marketing,High
GOAL980528,EMP011145,Productivity,Achieve productivity target for the period,05/10/2023,2024/01/11,911851.09,850471.35,93.3%,Overdue,Q3 2024,it,Low
GOAL924242,EMP008070,Quality Improvement,Achieve quality improvement target for the period,2022-05-26,07-19-2022,204595.54,225921.89,110.4%,,Q3 2024,it,LOW
GOAL759817,EMP003031,Training Completion,Achieve training completion target for the period,2021-01-13,2021-03-15,212627.52,105625.29,49.7%,Overdue,q3 2022,I.T.,N/A
GOAL882587,EMP009834,Sales Target,Achieve sales target target for the period,2024/01/26,2024-03-29,951832.97,463796.13,48.7%,cancelled,Q4 2021,Finance,LOW
GOAL597952,EMP003350,Quality Improvement,Achieve quality improvement target for the period,2021/08/02,09-12-2021,255057.03,,93.9%,in progress,2023-Q3,Procurement,MEDIUM
GOAL528661,EMP000334,Quality Improvement,Achieve quality improvement target for the period,24 Feb 2021,15/07/2021,915561.53,1172927.4,128.1%,overdue,Q1 2024,Ops,
GOAL771078,EMP019892,Compliance,,"February 22, 2021",10 May 2021,205586.08,,124.6%,N/A,2023-Q3,sales,
GOAL791600,EMP975349,SALES TARGET,Achieve sales target target for the period,05-19-2022,09-12-2022,479450.99,621447.08,129.6%,Cancelled,Q2 2024,Law,LOW
GOAL665687,EMP002693,Skill Development,Achieve skill development target for the period,2022-12-25,"May 29, 2023",743461.02,669585.74,90.1%,cancelled,Q4 2022,Customer Support,LOW
GOAL645810,EMP013977,Skill Development,Achieve skill development target for the period,"February 26, 2021",04-22-2021,415800.38,197754.41,47.6%,Completed,Q2 2023,Admin,Low
GOAL662228,EMP003127,Project Delivery,Achieve project delivery target for the period,14 Sep 2023,12/02/2024,668244.54,377206.68,56.4%,Overdue,Q2-2023,SALES,N/A
GOAL120066,EMP017016,COST REDUCTION,Achieve cost reduction target for the period,2023/09/29,16/03/2024,805585.94,296905.68,36.9%,cancelled,Q4 2021,LEGAL,LOW
GOAL132711,EMP009633,Team Building,,"March 29, 2022",2022/06/29,934799.29,1040389.57,111.3%,Completed,Q3 2021,human resources,N/A
GOAL143123,EMP014453,Quality Improvement,Achieve quality improvement target for the period,2023-10-01,2024/01/12,963323.95,809353.81,84.0%,N/A,Q4 2022,Research and Development,High
GOAL306253,EMP017975,Sales Target,Achieve sales target target for the period,"November 01, 2023",12-14-2023,949925.38,1086268.59,114.4%,Overdue,Q3 2023,Marketing,Low
GOAL285259,EMP001418,Revenue Growth,,12-02-2022,2023/03/08,90825.13,31141.21,34.3%,cancelled,Q2-2023,Slaes,High
GOAL192548,EMP940055,Productivity,Achieve productivity target for the period,2022/05/28,06 Jul 2022,,97264.42,115.0%,overdue,Q2 2022,Law,N/A
GOAL297939,EMP018774,Revenue Growth,Achieve revenue growth target for the period,26/03/2023,2023-06-14,579369.82,608988.2,105.1%,N/A,Q2-2023,Human Resources,High
GOAL802460,EMP009262,Innovation,Achieve innovation target for the period,07-30-2021,2021-12-20,215385.75,144889.22,67.3%,Cancelled,Q1 2021,CS,N/A
GOAL661637,EMP002933,Team Building,,09/03/2023,05-13-2023,705522.73,952545.41,135.0%,cancelled,Q4 2022,Fin,Low
GOAL501608,EMP007838,Compliance,Achieve compliance target for the period,01-05-2022,17/06/2022,288277.07,310650.69,107.8%,in progress,Q1 2022,FINANCE,High
GOAL580190,EMP009083,Team Building,Achieve team building target for the period,2021-05-21,16 Jul 2021,158175.92,103669.99,65.5%,N/A,Q4 2021,FINANCE,high
GOAL755267,EMP015360,Skill Development,Achieve skill development target for the period,"October 18, 2021",29/11/2021,697213.31,631078.84,90.5%,overdue,Q3 2024,sales,Medium
GOAL485011,EMP008538,Customer Satisfaction,Achieve customer satisfaction target for the period,2022-07-22,"December 09, 2022",330252.19,71359.91,21.6%,in progress,Q2 2022,marketing,LOW
GOAL355856,EMP000148,Productivity,Achieve productivity target for the period,15/08/2021,2021/12/23,173611.48,205423.17,118.3%,Completed,Q3 2023,Slaes,high
GOAL335700,EMP010664,Productivity,Achieve productivity target for the period,23 Jul 2021,13/01/2022,770118.72,204370.65,26.5%,In Progress,Q4 2022,Customer service,N/A
GOAL906441,EMP013085,Sales Target,Achieve sales target target for the period,03/06/2023,23 Sep 2023,160598.04,193621.13,120.6%,Cancelled,Q2 2024,marketing,High
GOAL167231,EMP011971,Sales Target,Achieve sales target target for the period,04-24-2023,"September 02, 2023",842706.65,236788.8,28.1%,Completed,Q1 2022,Administration,
GOAL626952,EMP012637,Team Building,Achieve team building target for the period,11 Feb 2022,2022/07/21,260068.5,169284.24,65.1%,In Progress,Q12022,Legal,Low
GOAL250849,EMP007446,Team Building,Achieve team building target for the period,05-08-2021,29 Jul 2021,266553.06,130367.13,48.9%,in progress,,ADMIN,LOW
GOAL939674,EMP004977,Project Delivery,Achieve project delivery target for the period,27 May 2021,17 Oct 2021,416042.46,150698.77,,Completed,2022 Q1,Operations,high
GOAL840199,EMP017271,Productivity,Achieve productivity target for the period,03 Apr 2022,2022-07-30,250819.74,194746.72,77.6%,In Progress,Q2 2023,Engineerng,MEDIUM
GOAL880494,EMP018146,Sales Target,Achieve sales target target for the period,2022-01-17,2022/04/13,348696.3,90295.32,25.9%,overdue,Q2 2021,Legal,High
GOAL439852,EMP012849,Productivity,Achieve productivity target for the period,29 May 2023,08-06-2023,224963.5,236363.46,105.1%,overdue,Q4 2022,Fin,
