review_id,employee_id,review_period,review_date,reviewer_id,performance_score,rating_label,goals_achieved_pct,communication_score,teamwork_score,leadership_score,technical_score,comments,department,created_at
REV587640,EMP956344,Q2 2024,2022/02/26,EMP009829,4.9,5 - Excellent,50%,1.4,2.5,4.9,4.3,Shows initiative,Research and Development,2022/02/26
REV640270,EMP008586,Q4 2021,22/02/2024,,1.5,Excellent,39%,4.2,4.5,3.4,2.3,Excellent communicator,Law,22/02/2024
REV917323,EMP003656,Q3 2023,03 Feb 2021,EMP003394,2.2,5-Excellent,90%,5.0,1.9,3.1,4.3,,Law,03/02/2021
REV241076,EMP018891,Q4 2023,2021-04-14,EMP016021,3.8,2-Below Average,85%,1.2,2.3,2.3,3.8,Meets expectations,Human Resource,14 Apr 2021
REV799923,EMP014989,Q2 2021,"April 11, 2023",EMP008433,4.8,EXCELLENT,52%,3.3,3.3,4.0,1.5,Great team player,Operations,04-11-2023
REV148767,EMP008421,Q3 2024,2023/03/15,EMP013653,2.0 ,AVG,98%,4.6,1.2,3.7,1.4,Outstanding leadership,Information Technology,15/03/2023
REV405863,EMP006837,Q42021,2023/11/15,,1.7,Good,76%,3.1,4.8,3.7,2.3,Needs improvement,r&d,15/11/2023
REV187050,EMP007544,Q4 2021,2024-02-11,,3.5,5-Excellent,77%,3.1,4.2,,1.1,Great team player,CS,2024/02/11
REV921591,EMP003829,Q3 2024,2021-01-26,EMP002231,1.7,4-Good,39%,1.2,1.7,2.4,3.3,consistent results,Administraton,26 Jan 2021
REV818672,EMP011273,Q4 2022,14/04/2021,EMP005273,4.5,good,69%,2.7,3.3,3.5,2.7,Meets expectations,marketing,04-14-2021
REV818380,EMP003399,Q1 2022,2021/12/16,EMP001938,2.9,4-Good,64%,4.8,3.8,1.9,3.4,good performer,Customer service,2021-12-16
REV679667,EMP001456,Q2 2023,07-09-2022,EMP011485,4.1,4-Good,55%,3.4,3.9,2.5,1.3,Shows initiative,Research & Dev,09/07/2022
REV602953,EMP001050,Q2 2024,14/11/2021,,3.8,4 - Good,26%,1.6,4.5,1.1,3.3,Reliable and dedicated,admin,2021-11-14
REV788797,EMP002261,Q22024,15 Aug 2023,EMP015411,3.2,poor,48%,2.4,1.7,3.3,1.4,Needs improvement,Operations,2023/08/15
REV773610,EMP000085,Q4 2023,03-29-2024,EMP015938,1.3,5-Excellent,55%,3.7,1.8,4.9,4.8,needs improvement,Fiance,29/03/2024
REV665248,EMP003013,Q32023,2021/01/25,,2.6 ,3 - Average,,3.5,4.0,2.9,3.5,,Customer service,25/01/2021
REV747710,EMP016403,Q2 2024,2024/03/03,EMP015243,2.1,5-Excellent,75%,2.4,1.2,2.2,,Reliable and dedicated,Mktg,"March 03, 2024"
REV500493,EMP015058,Q3 2023,2024-09-02,,"""1.2""",4 - Good,62%,,3.0,2.6,2.4,Excellent communicator,procurement,02 Sep 2024
REV239875,EMP001714,Q3 2021,04-12-2023,EMP018178,3.5,5 - Excellent,54%,,2.3,1.6,4.5,Shows initiative,I.T.,2023/04/12
REV755638,EMP016919,Q1 2023,14/06/2022,EMP005024,4.0,3 - Average,44%,3.5,2.8,2.5,2.9,,Admin,"June 14, 2022"
REV914547,EMP016916,Q4 2023,04 Apr 2024,EMP009029,4.6,3 - Average,83%,4.2,3.6,1.3,2.8,Needs improvement,Admin,"April 04, 2024"
REV220557,EMP000330,Q22022,2023/03/02,EMP010597,2.7,Poor,95%,3.5,2.8,2.8,2.6,Shows initiative,I.T.,2023/03/02
REV578744,EMP018235,Q2 2024,"March 05, 2023",,2.2,Excellent,84%,1.4,3.3,4.1,2.5,NEEDS IMPROVEMENT,Marketing,2023-03-05
REV801805,EMP007878,Q4 2021,2023/09/24,EMP011220,,Average,28%,3.0,3.6,2.5,3.1,Meets expectations,Engineerng,24/09/2023
REV693910,EMP017001,Q2 2022,2021/12/18,EMP013960,1.8,1-Poor,94%,,1.0,2.0,3.2,Exceeded expectations,Slaes,"December 18, 2021"
REV515296,EMP018002,Q1 2024,10/01/2021,EMP018044,3.5,5 - Excellent,63%,1.5,4.2,4.4,1.9,consistent results,Slaes,2021/01/10
REV901220,EMP018034,Q3 2021,2022-06-27,EMP014965,2.8,GOOD,72%,2.5,,1.6,1.6,needs improvement,Customer Support,06-27-2022
REV562094,EMP003710,Q32022,"September 20, 2023",EMP005921,1.7,Good,74%,3.9,3.5,1.7,4.0,Needs improvement,CS,2023-09-20
REV521912,EMP008465,Q3 2022,2021/06/13,EMP008195,,EXCELLENT,21%,2.8,4.9,3.8,4.2,Meets expectations,marketing,2021-06-13
REV966029,EMP015239,Q2 2021,17 Feb 2022,EMP007731,4.5,EXCELLENT,54%,2.4,4.3,4.1,3.6,Excellent communicator,procurement,"February 17, 2022"
REV786321,EMP012921,Q1 2022,"January 24, 2024",EMP000792,1.7,average,79%,2.3,2.5,4.4,2.0,Needs improvement,Administration,2024-01-24
REV539875,EMP002484,Q32024,"June 05, 2023",EMP003192,3.0,4 - Good,33%,3.0,3.6,3.9,,NEEDS IMPROVEMENT,I.T.,05 Jun 2023
REV824885,EMP013955,Q1 2022,2021/01/12,EMP000983,,5-Excellent,37%,3.3,1.9,2.9,1.1,Good performer,legal,12/01/2021
REV950977,EMP002666,Q4 2023,05/09/2021,,4.2,BELOW AVG,73%,4.9,4.4,3.2,3.9,NEEDS IMPROVEMENT,customer support,"September 05, 2021"
REV269735,EMP002413,Q4 2021,2022-01-02,EMP001492,4.6,EXCELLENT,65%,3.4,2.8,1.4,1.1,Struggles with deadlines,I.T.,02 Jan 2022
REV349728,EMP005720,Q4 2021,2023/09/04,EMP017477,2.3,5-Excellent,49%,1.2,3.2,1.4,3.1,Exceeded expectations,r&d,04/09/2023
REV172565,EMP008396,Q4 2023,24 Sep 2023,EMP013867,4.0,good,80%,2.6,3.5,4.9,2.7,Needs improvement,Sale,2023-09-24
REV221607,EMP009439,Q1 2022,"July 05, 2021",EMP014564,2.4,below average,98%,3.9,2.3,3.1,3.2,Great team player,admin,2021/07/05
REV847554,EMP013454,Q1 2021,04 Aug 2024,EMP008376,3.8,Below Avg,27%,4.9,2.1,4.5,4.4,Good performer,R&D,2024/08/04
REV112478,EMP000066,Q3 2024,"June 08, 2024",EMP009144,3.0,excellent,27%,1.2,2.0,3.4,2.5,Consistent results,LEGAL,08/06/2024
REV894505,EMP013929,Q1 2022,03-08-2023,EMP000825,,3 - Average,,3.8,1.2,3.1,3.7,Exceeded expectations,Fiance,2023/03/08
REV348583,EMP004383,Q3 2021,"May 16, 2023",EMP005453,,5 - Excellent,95%,3.9,2.8,,4.9,NEEDS IMPROVEMENT,marketing,2023/05/16
REV699309,EMP011580,Q4 2021,10-17-2022,EMP013153,3.6,4-Good,,1.2,1.5,3.5,2.9,NEEDS IMPROVEMENT,Administration,2022-10-17
REV489376,EMP010883,Q2 2022,"August 26, 2023",EMP008006,3.5,Average,36%,4.2,3.9,,2.6,Consistent results,Law,26/08/2023
REV645385,EMP002500,Q42021,2024-05-22,EMP012442,1.5,EXCELLENT,24%,1.9,1.1,2.0,2.3,Good performer,Research and Development,05-22-2024
REV841355,EMP010269,Q3 2022,08/05/2022,EMP007225,2.1,Average,,1.6,1.9,3.2,2.5,Good performer,SALES,08/05/2022
REV328518,EMP019572,Q1 2021,03-27-2021,EMP008824,3.9,3-Avg,64%,3.1,3.2,4.5,1.2,Exceeded expectations,MARKETING,2021-03-27
REV744497,EMP017705,Q3 2024,10-22-2021,EMP010230,1.7,Below Average,82%,4.1,3.0,3.3,2.0,consistent results,operations,22/10/2021
REV776641,EMP011790,Q4 2021,26/05/2024,EMP016560,,Good,95%,2.0,2.4,,4.0,Excellent communicator,Fiance,2024/05/26
REV766066,EMP008208,Q2 2021,07 Jul 2021,EMP014006,1.4 ,GOOD,96%,3.7,3.5,,1.6,Outstanding leadership,MARKETING,07/07/2021
REV811133,EMP010027,Q12023,2022-02-11,EMP009009,4.2,4 - Good,26%,4.9,2.2,1.5,2.2,Needs improvement,Fin,2022-02-11
REV416392,EMP004634,Q4 2021,06-13-2021,EMP014468,3.0,Good,75%,4.3,1.7,1.9,2.7,good performer,Slaes,2021/06/13
REV688219,EMP009335,Q4 2021,2023/01/22,EMP002348,"""1.3""",Average,87%,4.0,1.7,4.8,2.9,Room for growth,Human Resources,01-22-2023
REV934882,EMP976116,Q4 2021,"June 27, 2021",EMP005575,1.4 ,excellent,59%,3.1,3.5,3.4,2.4,Shows initiative,admin,06-27-2021
REV502600,EMP010494,Q2 2024,14/08/2024,EMP003835,4.3,Average,34%,3.0,1.8,3.5,4.4,Struggles with deadlines,Slaes,14/08/2024
REV743389,EMP013477,Q3 2021,10/12/2023,EMP009806,2.4,Good,95%,1.5,1.1,3.4,5.0,Reliable and dedicated,Operations,10 Dec 2023
REV827813,EMP017316,Q2 2024,01/11/2023,EMP019469,1.9,BELOW AVG,31%,4.6,4.2,2.3,1.8,Good performer,legal,11-01-2023
REV583898,EMP012478,Q3 2024,05-04-2024,EMP011640,1.2,3 - Average,45%,2.0,3.7,4.0,1.6,Needs improvement,Legal,2024/05/04
REV711074,EMP009661,Q4 2022,30/01/2024,EMP018654,,1-Poor,52%,3.3,4.3,1.4,4.1,N/A,Legal,"January 30, 2024"
REV237938,EMP010558,Q1 2022,21/04/2023,EMP009507,4.9,good,53%,1.4,4.3,4.2,1.1,Great team player,Information Technology,2023-04-21
REV924066,EMP943652,Q3 2024,17 Feb 2022,EMP013570,4.8,good,94%,2.2,2.3,,4.1,Meets expectations,Sales,17/02/2022
REV990650,EMP016928,Q4 2021,27/11/2023,EMP001043,"""4.9""",GOOD,49%,4.8,1.6,2.1,3.0,Consistent results,Fiance,11-27-2023
REV671931,EMP004962,Q4 2021,"October 05, 2021",EMP001620,2.4,EXCELLENT,77%,3.1,,4.2,4.9,N/A,RnD,10-05-2021
REV251647,EMP012033,Q22024,2021-11-13,EMP018565,"""1.3""",1 - Poor,93%,1.4,3.6,4.2,1.4,Consistent results,Eng,"November 13, 2021"
REV446966,EMP003396,Q2 2024,11-07-2023,EMP015277,1.7,Below Average,48%,1.6,1.8,4.3,1.6,Meets expectations,customer support,2023/11/07
REV939249,EMP007798,Q1 2021,"June 01, 2023",EMP002431,,Excellent,50%,1.8,3.6,3.0,3.4,,Research & Dev,01/06/2023
REV365536,EMP918532,Q4 2021,2021-07-31,EMP000882,1.3,Good,33%,3.3,2.4,3.6,3.5,Great team player,Enginering,07-31-2021
REV799041,EMP005923,Q2 2022,08-28-2022,EMP003246,3.8,5-Excellent,,3.0,1.5,2.2,3.6,Great team player,operations,2022/08/28
REV665967,EMP014862,Q3 2024,2021/07/23,EMP006570,1.9,POOR,47%,4.1,3.5,1.2,1.2,Consistent results,Engineering,23 Jul 2021
REV945517,EMP013277,Q3 2023,22/01/2024,EMP002658,2.8,4-Good,33%,,2.0,3.3,4.8,,Customer service,01-22-2024
REV785324,EMP010816,Q4 2021,23 Jun 2022,EMP015767,2.7,4-Good,76%,3.5,2.0,4.3,1.9,Meets expectations,Administration,06-23-2022
REV948928,EMP019489,Q2 2022,23 Jul 2022,EMP010562,1.0,average,100%,2.9,2.0,1.1,2.4,N/A,I.T.,23/07/2022
REV386304,EMP000511,Q1 2022,01-27-2021,EMP013163,1.9,4 - Good,53%,3.6,1.9,2.4,2.8,Exceeded expectations,Proc,"January 27, 2021"
REV400302,EMP013395,Q42023,2023/03/04,EMP003818,2.4,Average,41%,3.8,4.5,4.0,1.1,Excellent communicator,finance,"March 04, 2023"
REV113534,EMP009398,Q3 2024,2021/04/23,EMP003447,2.9,5 - Excellent,30%,4.1,2.5,1.1,2.9,Needs improvement,FINANCE,"April 23, 2021"
REV583317,EMP013723,Q1 2024,09-13-2022,EMP016563,3.4,Below Avg,21%,3.8,4.4,,2.5,,Marketting,09-13-2022
REV481591,EMP015182,Q3 2021,"June 06, 2023",EMP006180,4.8 ,4-Good,33%,,3.0,1.2,2.0,Consistent results,Operations,06 Jun 2023
REV281454,EMP011754,Q22023,2023/12/02,EMP000193,4.6,Good,92%,2.2,1.1,2.4,2.8,Good performer,Fiance,2023/12/02
REV200166,EMP012612,Q3 2023,28 May 2024,,1.1,Good,82%,4.2,4.2,2.1,4.5,Meets expectations,Cust Support,2024-05-28
REV399920,EMP013343,Q3 2024,23/08/2023,EMP012328,2.4,good,98%,1.7,2.3,4.0,1.8,Room for growth,operations,2023-08-23
REV791546,EMP012342,Q3 2022,2024-04-05,EMP006931,4.1,below average,72%,4.1,1.7,1.7,1.7,,r&d,05/04/2024
REV555155,EMP909249,Q2 2022,01-07-2022,EMP001228,3.7,average,67%,3.1,3.5,2.8,3.5,consistent results,it,2022-01-07
REV299121,EMP001125,Q2 2024,31/03/2022,EMP004333,,good,28%,3.7,4.5,4.0,2.6,EXCEEDED EXPECTATIONS,Law,31 Mar 2022
REV804991,EMP961576,Q4 2022,04-14-2022,EMP015177,1.8 ,2-Below Average,90%,3.8,4.8,2.5,4.3,Excellent communicator,Ops,2022/04/14
REV795940,EMP017537,Q4 2023,2022-07-05,EMP011982,4.7,3-Avg,73%,4.4,4.8,3.2,,N/A,Info Tech,2022-07-05
REV793225,EMP018290,Q2 2023,2024-04-23,EMP014302,1.6,good,39%,1.6,1.7,4.1,2.7,consistent results,ADMIN,2024-04-23
REV126346,EMP014728,Q2 2022,22/03/2021,,2.3,3-Avg,50%,1.9,,3.8,1.8,needs improvement,Humaan Resources,2021-03-22
REV659797,EMP006702,Q12023,05-10-2023,EMP011082,2.3,4 - Good,30%,3.8,3.6,,3.8,,legal,2023-05-10
REV631649,EMP006957,Q3 2022,2021/09/14,EMP013045,,3 - Average,38%,1.6,1.3,3.0,1.4,N/A,Customer service,14/09/2021
REV566095,EMP018770,Q1 2024,24 Apr 2021,EMP006663,,GOOD,49%,1.4,1.9,2.8,3.1,Good performer,Procurement,"April 24, 2021"
REV250708,EMP012534,Q3 2024,04-06-2022,,3.4,POOR,,3.3,2.9,1.6,1.4,EXCEEDED EXPECTATIONS,customer support,06 Apr 2022
REV416226,EMP008131,Q1 2021,2022/01/14,EMP016672,2.4,4 - Good,88%,1.9,4.8,4.3,4.4,Exceeded expectations,Human Resources,2022-01-14
REV787917,EMP009287,Q2 2023,23 Aug 2024,EMP019441,1.5,4 - Good,26%,1.9,1.4,3.4,4.9,Room for growth,Customer service,23 Aug 2024
REV498949,EMP017838,Q2 2023,02-13-2021,EMP000948,4.2 ,Average,85%,3.5,3.2,2.6,1.6,,Research and Development,02-13-2021
REV902924,EMP005433,Q1 2023,2023-07-16,EMP010281,4.3 ,Good,,1.1,1.5,2.8,2.9,needs improvement,PROCUREMENT,16 Jul 2023
REV910062,EMP004655,Q1 2023,05/10/2023,,2.6,excellent,,2.8,3.9,2.3,4.1,Room for growth,Information Technology,2023-10-05
REV220050,EMP008668,Q1 2022,08-01-2024,EMP008710,2.1,5-Excellent,83%,3.9,3.6,2.1,1.1,Needs improvement,Customer Support,"August 01, 2024"
REV402812,EMP016899,Q4 2023,2022-05-30,EMP011329,4.2 ,1-Poor,44%,3.4,3.6,1.9,4.2,Needs improvement,Sales,"May 30, 2022"
REV708835,EMP017317,Q2 2024,2023-04-11,EMP011797,3.6,5 - Excellent,,4.1,1.2,2.2,3.3,Reliable and dedicated,Ops,2023/04/11
REV369889,EMP014400,Q1 2023,27/03/2021,EMP008376,2.8,EXCELLENT,42%,3.2,2.9,2.1,1.5,NEEDS IMPROVEMENT,Information Technology,03-27-2021
REV325039,EMP012401,Q1 2022,01 Aug 2021,EMP003690,3.9,5-Excellent,63%,2.3,4.6,4.6,2.1,NEEDS IMPROVEMENT,H.R.,01/08/2021
REV958753,EMP005639,Q3 2022,18 Feb 2021,EMP009854,,4-Good,67%,1.4,1.1,2.0,2.3,Outstanding leadership,Legel,02-18-2021
REV373934,EMP006026,Q4 2022,2022/03/23,EMP003776,4.9,GOOD,,3.9,1.2,1.7,,Good performer,human resources,03-23-2022
REV597147,EMP007518,Q1 2022,2023-11-12,EMP006366,3.8,Average,25%,5.0,1.4,3.9,4.3,NEEDS IMPROVEMENT,MARKETING,12/11/2023
REV949777,EMP014591,Q4 2022,10 Oct 2021,EMP009861,1.0,Good,,5.0,4.6,1.1,4.8,Consistent results,Mktg,2021-10-10
REV210177,EMP012284,Q4 2021,2024/04/14,EMP014031,1.8,AVG,,2.4,1.5,2.3,,Room for growth,Human Resource,14 Apr 2024
REV912512,EMP016921,Q1 2022,2024-09-14,EMP001000,3.9,excellent,36%,3.5,2.3,,2.7,Outstanding leadership,Administraton,2024-09-14
REV918277,EMP011736,Q3 2022,"September 21, 2023",EMP003384,1.4,AVG,36%,4.8,3.5,4.9,2.8,Reliable and dedicated,Enginering,21/09/2023
